response_id,call_timestamp,calling_source,matched_spot_time,matched_end_time,matched_tfn,station,creative,impressions,attribution_window,attribution_status,weight
1854,2024-07-01 12:59:22,800-205-0406,2024-07-01 10:44:46,2024-07-01 11:14:46,800-205-0406,Station C,Creative 3,616.0,30 minutes,Attributed (TFN only),
1855,2024-07-01 13:03:17,800-246-1702,2024-07-01 00:48:17,2024-07-01 01:18:17,800-246-1702,Station A,Creative 1,521.0,30 minutes,Attributed (TFN only),
1856,2024-07-01 12:41:07,800-981-2083,2024-07-01 10:32:41,2024-07-01 11:02:41,800-981-2083,Station C,Creative 3,518.0,30 minutes,Attributed (TFN only),
1857,2024-07-01 14:56:46,800-335-3096,2024-07-01 14:56:46,2024-07-01 15:26:46,800-335-3096,Station C,Creative 2,590.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1857,2024-07-01 14:56:46,800-335-3096,2024-07-01 14:56:46,2024-07-01 15:26:46,800-335-3096,Station C,Creative 2,590.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1858,2024-07-01 14:59:02,800-871-9774,2024-07-01 14:59:02,2024-07-01 15:59:02,800-871-9774,Station A,Creative 1,887.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1858,2024-07-01 14:59:02,800-871-9774,2024-07-01 14:59:02,2024-07-01 15:59:02,800-871-9774,Station A,Creative 1,887.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1859,2024-07-01 12:01:23,800-864-6172,2024-07-01 04:45:13,2024-07-01 05:15:13,800-864-6172,Station A,Creative 1,626.0,30 minutes,Attributed (TFN only),
1860,2024-07-01 12:00:31,800-940-5261,2024-07-01 08:36:32,2024-07-01 09:06:32,800-940-5261,Station B,Creative 3,477.0,30 minutes,Attributed (TFN only),
1861,2024-07-01 11:45:06,800-892-9354,2024-07-01 11:45:06,2024-07-01 12:15:06,800-892-9354,Station B,Creative 2,261.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1861,2024-07-01 11:45:06,800-892-9354,2024-07-01 11:45:06,2024-07-01 12:15:06,800-892-9354,Station B,Creative 2,261.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1862,2024-07-01 11:29:36,800-967-7320,2024-07-01 11:29:36,2024-07-01 12:29:36,800-967-7320,Station C,Creative 2,463.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1862,2024-07-01 11:29:36,800-967-7320,2024-07-01 11:29:36,2024-07-01 12:29:36,800-967-7320,Station C,Creative 2,463.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1863,2024-07-01 11:52:27,800-705-2734,2024-07-01 11:52:27,2024-07-01 12:22:27,800-705-2734,Station A,Creative 1,203.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1863,2024-07-01 11:52:27,800-705-2734,2024-07-01 11:52:27,2024-07-01 12:22:27,800-705-2734,Station A,Creative 1,203.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1864,2024-07-01 11:00:41,800-958-3270,2024-07-01 11:00:41,2024-07-01 11:30:41,800-958-3270,Station C,Creative 2,673.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1864,2024-07-01 11:00:41,800-958-3270,2024-07-01 11:00:41,2024-07-01 11:30:41,800-958-3270,Station C,Creative 2,673.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1865,2024-07-01 11:09:22,800-940-5261,2024-07-01 08:36:32,2024-07-01 09:06:32,800-940-5261,Station B,Creative 3,477.0,30 minutes,Attributed (TFN only),
1866,2024-07-01 10:44:46,800-205-0406,2024-07-01 10:44:46,2024-07-01 11:14:46,800-205-0406,Station C,Creative 3,616.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1866,2024-07-01 10:44:46,800-205-0406,2024-07-01 10:44:46,2024-07-01 11:14:46,800-205-0406,Station C,Creative 3,616.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1867,2024-07-01 10:47:24,800-730-4373,2024-07-01 10:47:24,2024-07-01 11:17:24,800-730-4373,Station C,Creative 1,765.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1867,2024-07-01 10:47:24,800-730-4373,2024-07-01 10:47:24,2024-07-01 11:17:24,800-730-4373,Station C,Creative 1,765.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1868,2024-07-01 12:47:44,800-912-7657,2024-07-01 12:47:44,2024-07-01 13:17:44,800-912-7657,Station C,Creative 3,856.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1868,2024-07-01 12:47:44,800-912-7657,2024-07-01 12:47:44,2024-07-01 13:17:44,800-912-7657,Station C,Creative 3,856.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1869,2024-07-01 12:25:24,800-766-5908,2024-07-01 12:24:57,2024-07-01 12:54:57,800-766-5908,Station C,Creative 3,275.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1869,2024-07-01 12:25:24,800-766-5908,2024-07-01 12:24:57,2024-07-01 12:54:57,800-766-5908,Station C,Creative 3,275.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1870,2024-07-01 10:06:47,800-653-0469,2024-07-01 10:06:47,2024-07-01 10:36:47,800-653-0469,Station A,Creative 3,941.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1870,2024-07-01 10:06:47,800-653-0469,2024-07-01 10:06:47,2024-07-01 10:36:47,800-653-0469,Station A,Creative 3,941.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1871,2024-07-01 10:40:07,800-550-0142,2024-07-01 10:40:07,2024-07-01 11:40:07,800-550-0142,Station B,Creative 2,870.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1871,2024-07-01 10:40:07,800-550-0142,2024-07-01 10:40:07,2024-07-01 11:40:07,800-550-0142,Station B,Creative 2,870.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1872,2024-07-01 10:44:26,800-550-0142,2024-07-01 10:40:07,2024-07-01 11:40:07,800-550-0142,Station B,Creative 2,870.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1872,2024-07-01 10:44:26,800-550-0142,2024-07-01 10:40:07,2024-07-01 11:40:07,800-550-0142,Station B,Creative 2,870.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1873,2024-07-01 10:32:41,800-981-2083,2024-07-01 10:32:41,2024-07-01 11:02:41,800-981-2083,Station C,Creative 3,518.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1873,2024-07-01 10:32:41,800-981-2083,2024-07-01 10:32:41,2024-07-01 11:02:41,800-981-2083,Station C,Creative 3,518.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1874,2024-07-01 10:49:16,800-205-0406,2024-07-01 10:44:46,2024-07-01 11:14:46,800-205-0406,Station C,Creative 3,616.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1874,2024-07-01 10:49:16,800-205-0406,2024-07-01 10:44:46,2024-07-01 11:14:46,800-205-0406,Station C,Creative 3,616.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1875,2024-07-01 12:00:36,800-773-2961,2024-07-01 12:00:36,2024-07-01 12:30:36,800-773-2961,Station A,Creative 3,165.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1875,2024-07-01 12:00:36,800-773-2961,2024-07-01 12:00:36,2024-07-01 12:30:36,800-773-2961,Station A,Creative 3,165.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1876,2024-07-01 21:18:43,800-981-2083,2024-07-01 10:32:41,2024-07-01 11:02:41,800-981-2083,Station C,Creative 3,518.0,30 minutes,Attributed (TFN only),
1877,2024-07-01 22:15:10,800-485-3453,2024-07-01 07:27:20,2024-07-01 07:57:20,800-485-3453,Station B,Creative 3,871.0,30 minutes,Attributed (TFN only),
1878,2024-07-01 20:23:46,800-905-2182,2024-07-01 13:15:49,2024-07-01 14:15:49,800-905-2182,Station C,Creative 3,531.0,60 minutes,Attributed (TFN only),
1879,2024-07-01 20:30:50,800-492-7417,2024-07-01 16:30:11,2024-07-01 17:00:11,800-492-7417,Station C,Creative 1,827.0,30 minutes,Attributed (TFN only),
1880,2024-07-01 21:51:59,800-395-7019,2024-07-01 21:51:59,2024-07-01 22:21:59,800-395-7019,Station A,Creative 1,987.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1880,2024-07-01 21:51:59,800-395-7019,2024-07-01 21:51:59,2024-07-01 22:21:59,800-395-7019,Station A,Creative 1,987.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1881,2024-07-01 19:03:31,800-940-5261,2024-07-01 08:36:32,2024-07-01 09:06:32,800-940-5261,Station B,Creative 3,477.0,30 minutes,Attributed (TFN only),
1882,2024-07-01 19:40:17,800-492-7417,2024-07-01 16:30:11,2024-07-01 17:00:11,800-492-7417,Station C,Creative 1,827.0,30 minutes,Attributed (TFN only),
1883,2024-07-01 22:13:35,800-485-3453,2024-07-01 07:27:20,2024-07-01 07:57:20,800-485-3453,Station B,Creative 3,871.0,30 minutes,Attributed (TFN only),
1884,2024-07-01 20:27:09,800-940-5261,2024-07-01 08:36:32,2024-07-01 09:06:32,800-940-5261,Station B,Creative 3,477.0,30 minutes,Attributed (TFN only),
1885,2024-07-01 20:56:18,800-492-7417,2024-07-01 16:30:11,2024-07-01 17:00:11,800-492-7417,Station C,Creative 1,827.0,30 minutes,Attributed (TFN only),
1886,2024-07-01 21:18:32,800-940-5261,2024-07-01 08:36:32,2024-07-01 09:06:32,800-940-5261,Station B,Creative 3,477.0,30 minutes,Attributed (TFN only),
1887,2024-07-01 20:59:48,800-671-0651,2024-07-01 16:16:44,2024-07-01 16:46:44,800-671-0651,Station A,Creative 3,930.0,30 minutes,Attributed (TFN only),
1888,2024-07-01 19:55:31,800-674-4417,2024-07-01 16:12:58,2024-07-01 17:12:58,800-674-4417,Station B,Creative 2,253.0,60 minutes,Attributed (TFN only),
1889,2024-07-01 20:30:15,800-492-7417,2024-07-01 16:30:11,2024-07-01 17:00:11,800-492-7417,Station C,Creative 1,827.0,30 minutes,Attributed (TFN only),
1890,2024-07-01 18:18:18,800-903-9481,2024-07-01 12:40:09,2024-07-01 13:40:09,800-903-9481,Station A,Creative 3,241.0,60 minutes,Attributed (TFN only),
1891,2024-07-01 19:15:53,800-967-2890,2024-07-01 19:15:53,2024-07-01 20:15:53,800-967-2890,Station B,Creative 3,129.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1891,2024-07-01 19:15:53,800-967-2890,2024-07-01 19:15:53,2024-07-01 20:15:53,800-967-2890,Station B,Creative 3,129.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1892,2024-07-01 17:49:17,800-871-9774,2024-07-01 14:59:02,2024-07-01 15:59:02,800-871-9774,Station A,Creative 1,887.0,60 minutes,Attributed (TFN only),
1893,2024-07-01 17:41:39,800-766-5908,2024-07-01 12:24:57,2024-07-01 12:54:57,800-766-5908,Station C,Creative 3,275.0,30 minutes,Attributed (TFN only),
1894,2024-07-01 17:53:01,800-246-1702,2024-07-01 00:48:17,2024-07-01 01:18:17,800-246-1702,Station A,Creative 1,521.0,30 minutes,Attributed (TFN only),
1895,2024-07-01 18:02:34,800-427-1079,2024-07-01 17:25:30,2024-07-01 17:55:30,800-427-1079,Station C,Creative 2,461.0,30 minutes,Attributed (TFN only),
1896,2024-07-01 18:05:38,800-427-1079,2024-07-01 17:25:30,2024-07-01 17:55:30,800-427-1079,Station C,Creative 2,461.0,30 minutes,Attributed (TFN only),
1897,2024-07-01 17:57:55,800-976-8406,2024-07-01 15:13:14,2024-07-01 15:43:14,800-976-8406,Station C,Creative 3,295.0,30 minutes,Attributed (TFN only),
1898,2024-07-01 17:54:30,800-671-0651,2024-07-01 16:16:44,2024-07-01 16:46:44,800-671-0651,Station A,Creative 3,930.0,30 minutes,Attributed (TFN only),
1899,2024-07-01 17:55:05,800-671-0651,2024-07-01 16:16:44,2024-07-01 16:46:44,800-671-0651,Station A,Creative 3,930.0,30 minutes,Attributed (TFN only),
1900,2024-07-01 17:26:22,800-912-7051,2024-07-01 16:12:21,2024-07-01 16:42:21,800-912-7051,Station A,Creative 3,701.0,30 minutes,Attributed (TFN only),
1901,2024-07-01 17:47:51,800-674-4417,2024-07-01 16:12:58,2024-07-01 17:12:58,800-674-4417,Station B,Creative 2,253.0,60 minutes,Attributed (TFN only),
1902,2024-07-01 17:54:21,800-671-0651,2024-07-01 16:16:44,2024-07-01 16:46:44,800-671-0651,Station A,Creative 3,930.0,30 minutes,Attributed (TFN only),
1903,2024-07-01 18:00:50,800-976-8406,2024-07-01 15:13:14,2024-07-01 15:43:14,800-976-8406,Station C,Creative 3,295.0,30 minutes,Attributed (TFN only),
1904,2024-07-01 18:03:11,800-427-1079,2024-07-01 17:25:30,2024-07-01 17:55:30,800-427-1079,Station C,Creative 2,461.0,30 minutes,Attributed (TFN only),
1905,2024-07-01 18:08:15,800-976-8406,2024-07-01 15:13:14,2024-07-01 15:43:14,800-976-8406,Station C,Creative 3,295.0,30 minutes,Attributed (TFN only),
1906,2024-07-01 17:58:56,800-912-7198,2024-07-01 05:58:58,2024-07-01 06:28:58,800-912-7198,Station B,Creative 1,906.0,30 minutes,Attributed (TFN only),
1907,2024-07-01 18:32:19,800-306-9098,2024-07-01 18:32:19,2024-07-01 19:02:19,800-306-9098,Station A,Creative 1,128.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1907,2024-07-01 18:32:19,800-306-9098,2024-07-01 18:32:19,2024-07-01 19:02:19,800-306-9098,Station A,Creative 1,128.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1908,2024-07-01 17:25:04,800-935-1874,2024-07-01 17:25:04,2024-07-01 17:55:04,800-935-1874,Station B,Creative 1,693.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1908,2024-07-01 17:25:04,800-935-1874,2024-07-01 17:25:04,2024-07-01 17:55:04,800-935-1874,Station B,Creative 1,693.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1909,2024-07-01 17:30:40,800-817-0385,2024-07-01 09:29:41,2024-07-01 09:59:41,800-817-0385,Station A,Creative 3,188.0,30 minutes,Attributed (TFN only),
1910,2024-07-01 17:28:29,800-976-8406,2024-07-01 15:13:14,2024-07-01 15:43:14,800-976-8406,Station C,Creative 3,295.0,30 minutes,Attributed (TFN only),
1911,2024-07-01 11:22:30,800-251-6931,2024-07-01 11:21:28,2024-07-01 11:51:28,800-251-6931,Station B,Creative 2,867.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1911,2024-07-01 11:22:30,800-251-6931,2024-07-01 11:21:28,2024-07-01 11:51:28,800-251-6931,Station B,Creative 2,867.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1912,2024-07-01 12:05:16,800-966-1528,2024-07-01 12:05:16,2024-07-01 12:35:16,800-966-1528,Station A,Creative 2,172.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1912,2024-07-01 12:05:16,800-966-1528,2024-07-01 12:05:16,2024-07-01 12:35:16,800-966-1528,Station A,Creative 2,172.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1913,2024-07-01 12:10:02,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN only),
1914,2024-07-01 10:01:14,800-895-2305,2024-07-01 10:01:14,2024-07-01 10:31:14,800-895-2305,Station B,Creative 2,683.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1914,2024-07-01 10:01:14,800-895-2305,2024-07-01 10:01:14,2024-07-01 10:31:14,800-895-2305,Station B,Creative 2,683.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1915,2024-07-01 10:19:11,800-771-2239,2024-07-01 09:39:19,2024-07-01 10:09:19,800-771-2239,Station B,Creative 2,961.0,30 minutes,Attributed (TFN only),
1916,2024-07-01 11:45:26,800-308-3160,2024-07-01 07:44:12,2024-07-01 08:14:12,800-308-3160,Station A,Creative 2,383.0,30 minutes,Attributed (TFN only),
1917,2024-07-01 11:38:48,800-927-1907,2024-07-01 11:38:48,2024-07-01 12:38:48,800-927-1907,Station B,Creative 1,349.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1917,2024-07-01 11:38:48,800-927-1907,2024-07-01 11:38:48,2024-07-01 12:38:48,800-927-1907,Station B,Creative 1,349.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
1918,2024-07-01 11:29:56,800-316-0268,2024-07-01 11:29:56,2024-07-01 11:59:56,800-316-0268,Station B,Creative 2,200.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1918,2024-07-01 11:29:56,800-316-0268,2024-07-01 11:29:56,2024-07-01 11:59:56,800-316-0268,Station B,Creative 2,200.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1919,2024-07-01 11:29:08,800-519-3251,2024-07-01 11:29:08,2024-07-01 11:59:08,800-519-3251,Station A,Creative 1,727.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1919,2024-07-01 11:29:08,800-519-3251,2024-07-01 11:29:08,2024-07-01 11:59:08,800-519-3251,Station A,Creative 1,727.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1920,2024-07-01 08:59:02,800-364-1630,2024-07-01 08:41:18,2024-07-01 09:11:18,800-364-1630,Station A,Creative 3,587.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1920,2024-07-01 08:59:02,800-364-1630,2024-07-01 08:41:18,2024-07-01 09:11:18,800-364-1630,Station A,Creative 3,587.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1921,2024-07-01 08:58:19,800-413-0665,2024-07-01 08:58:19,2024-07-01 09:28:19,800-413-0665,Station A,Creative 2,377.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1921,2024-07-01 08:58:19,800-413-0665,2024-07-01 08:58:19,2024-07-01 09:28:19,800-413-0665,Station A,Creative 2,377.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1922,2024-07-01 08:59:24,800-413-0665,2024-07-01 08:58:19,2024-07-01 09:28:19,800-413-0665,Station A,Creative 2,377.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1922,2024-07-01 08:59:24,800-413-0665,2024-07-01 08:58:19,2024-07-01 09:28:19,800-413-0665,Station A,Creative 2,377.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1923,2024-07-01 08:47:56,800-390-6491,2024-07-01 07:06:34,2024-07-01 07:36:34,800-390-6491,Station C,Creative 2,945.0,30 minutes,Attributed (TFN only),
1924,2024-07-01 08:45:08,800-342-1389,2024-07-01 08:42:35,2024-07-01 09:12:35,800-342-1389,Station C,Creative 1,322.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1924,2024-07-01 08:45:08,800-342-1389,2024-07-01 08:42:35,2024-07-01 09:12:35,800-342-1389,Station C,Creative 1,322.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1925,2024-07-01 09:08:32,800-759-1037,2024-07-01 09:08:32,2024-07-01 09:38:32,800-759-1037,Station A,Creative 1,774.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1925,2024-07-01 09:08:32,800-759-1037,2024-07-01 09:08:32,2024-07-01 09:38:32,800-759-1037,Station A,Creative 1,774.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1926,2024-07-01 09:13:25,800-716-0794,2024-07-01 09:13:25,2024-07-01 09:43:25,800-716-0794,Station B,Creative 1,886.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1926,2024-07-01 09:13:25,800-716-0794,2024-07-01 09:13:25,2024-07-01 09:43:25,800-716-0794,Station B,Creative 1,886.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1927,2024-07-01 09:43:36,800-405-7718,2024-07-01 08:19:00,2024-07-01 08:49:00,800-405-7718,Station B,Creative 3,869.0,30 minutes,Attributed (TFN only),
1928,2024-07-01 09:26:05,800-364-1630,2024-07-01 08:41:18,2024-07-01 09:11:18,800-364-1630,Station A,Creative 3,587.0,30 minutes,Attributed (TFN only),
1929,2024-07-01 09:32:09,800-610-4877,2024-07-01 09:31:06,2024-07-01 10:01:06,800-610-4877,Station C,Creative 3,718.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1929,2024-07-01 09:32:09,800-610-4877,2024-07-01 09:31:06,2024-07-01 10:01:06,800-610-4877,Station C,Creative 3,718.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1930,2024-07-01 09:17:15,800-208-5711,2024-07-01 09:15:18,2024-07-01 09:45:18,800-208-5711,Station A,Creative 1,481.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1930,2024-07-01 09:17:15,800-208-5711,2024-07-01 09:15:18,2024-07-01 09:45:18,800-208-5711,Station A,Creative 1,481.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1931,2024-07-01 09:31:06,800-610-4877,2024-07-01 09:31:06,2024-07-01 10:01:06,800-610-4877,Station C,Creative 3,718.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1931,2024-07-01 09:31:06,800-610-4877,2024-07-01 09:31:06,2024-07-01 10:01:06,800-610-4877,Station C,Creative 3,718.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1932,2024-07-01 09:43:23,800-746-0979,2024-07-01 09:43:23,2024-07-01 10:13:23,800-746-0979,Station C,Creative 3,975.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1932,2024-07-01 09:43:23,800-746-0979,2024-07-01 09:43:23,2024-07-01 10:13:23,800-746-0979,Station C,Creative 3,975.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1933,2024-07-01 09:09:33,800-388-5314,2024-07-01 09:09:33,2024-07-01 09:39:33,800-388-5314,Station C,Creative 1,926.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1933,2024-07-01 09:09:33,800-388-5314,2024-07-01 09:09:33,2024-07-01 09:39:33,800-388-5314,Station C,Creative 1,926.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1934,2024-07-01 10:48:48,800-862-6450,2024-07-01 10:48:48,2024-07-01 11:18:48,800-862-6450,Station B,Creative 1,523.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1934,2024-07-01 10:48:48,800-862-6450,2024-07-01 10:48:48,2024-07-01 11:18:48,800-862-6450,Station B,Creative 1,523.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1935,2024-07-01 11:14:17,800-554-1659,2024-07-01 11:14:17,2024-07-01 11:44:17,800-554-1659,Station A,Creative 2,961.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1935,2024-07-01 11:14:17,800-554-1659,2024-07-01 11:14:17,2024-07-01 11:44:17,800-554-1659,Station A,Creative 2,961.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1936,2024-07-01 00:07:47,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1936,2024-07-01 00:07:47,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1937,2024-07-01 00:17:04,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1937,2024-07-01 00:17:04,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1938,2024-07-01 00:33:41,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1938,2024-07-01 00:33:41,800-804-2921,2024-07-01 00:07:47,2024-07-01 00:37:47,800-804-2921,Station B,Creative 1,955.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1939,2024-07-01 11:10:30,800-234-1541,2024-07-01 11:10:30,2024-07-01 11:40:30,800-234-1541,Station B,Creative 3,919.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1939,2024-07-01 11:10:30,800-234-1541,2024-07-01 11:10:30,2024-07-01 11:40:30,800-234-1541,Station B,Creative 3,919.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1940,2024-07-01 11:10:45,800-454-1178,2024-07-01 03:41:15,2024-07-01 04:11:15,800-454-1178,Station A,Creative 1,165.0,30 minutes,Attributed (TFN only),
1941,2024-07-01 11:03:50,800-293-2871,2024-07-01 11:03:50,2024-07-01 11:33:50,800-293-2871,Station C,Creative 3,832.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1941,2024-07-01 11:03:50,800-293-2871,2024-07-01 11:03:50,2024-07-01 11:33:50,800-293-2871,Station C,Creative 3,832.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1942,2024-07-01 11:13:23,800-460-0449,2024-07-01 11:13:23,2024-07-01 11:43:23,800-460-0449,Station A,Creative 3,697.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1942,2024-07-01 11:13:23,800-460-0449,2024-07-01 11:13:23,2024-07-01 11:43:23,800-460-0449,Station A,Creative 3,697.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1943,2024-07-01 04:47:05,800-912-8473,2024-07-01 04:47:05,2024-07-01 05:17:05,800-912-8473,Station C,Creative 2,417.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1943,2024-07-01 04:47:05,800-912-8473,2024-07-01 04:47:05,2024-07-01 05:17:05,800-912-8473,Station C,Creative 2,417.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1944,2024-07-01 04:59:51,800-990-5614,2024-07-01 04:59:51,2024-07-01 05:29:51,800-990-5614,Station C,Creative 1,585.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1944,2024-07-01 04:59:51,800-990-5614,2024-07-01 04:59:51,2024-07-01 05:29:51,800-990-5614,Station C,Creative 1,585.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1945,2024-07-01 05:52:51,800-503-0719,2024-07-01 05:52:51,2024-07-01 06:22:51,800-503-0719,Station C,Creative 3,287.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1945,2024-07-01 05:52:51,800-503-0719,2024-07-01 05:52:51,2024-07-01 06:22:51,800-503-0719,Station C,Creative 3,287.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1946,2024-07-01 06:08:22,800-834-8217,2024-07-01 06:08:22,2024-07-01 06:38:22,800-834-8217,Station A,Creative 2,367.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1946,2024-07-01 06:08:22,800-834-8217,2024-07-01 06:08:22,2024-07-01 06:38:22,800-834-8217,Station A,Creative 2,367.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1947,2024-07-01 10:48:08,800-411-5008,2024-07-01 07:07:33,2024-07-01 07:37:33,800-411-5008,Station C,Creative 1,506.0,30 minutes,Attributed (TFN only),
1948,2024-07-01 10:27:54,800-368-5392,2024-07-01 10:27:54,2024-07-01 10:57:54,800-368-5392,Station A,Creative 1,880.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1948,2024-07-01 10:27:54,800-368-5392,2024-07-01 10:27:54,2024-07-01 10:57:54,800-368-5392,Station A,Creative 1,880.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1949,2024-07-01 10:51:50,800-741-9868,2024-07-01 10:51:50,2024-07-01 11:21:50,800-741-9868,Station A,Creative 2,463.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
1949,2024-07-01 10:51:50,800-741-9868,2024-07-01 10:51:50,2024-07-01 11:21:50,800-741-9868,Station A,Creative 2,463.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
